index	sentence1	sentence2	label
1	<user> <user> 30 million unemployed , fool	Is this tweet offensive?	0
2	. <user> <user> <user> <user> <user> <user> #WeDontBuyHate this is powerful. Watch	Is this tweet offensive?	0
3	If you watched the entire #GeorgeFloyd porno, you’ve unlocked your inner level 5 freak &amp; there’s no turning back for u...#youknowwhoyouare #dannysdailydose	Is this tweet offensive?	1
4	<user> Stay away from children.	Is this tweet offensive?	0
5	<user> <user> No super-spreader accusations as people party in the streets from the MSM.   And just like that, COVID ends.  The left is a party of liers, racists, cheaters, looters, arsonist, rioters and hypocrites.	Is this tweet offensive?	1
6	Trayvon Martin #georgezimmerman deserved the death penalty	Is this tweet offensive?	0
7	<user> <user> <user> <user> <user> <user> <user> <user> Trump is in favor of what happened in Texas against Biden. The Republican Party as you knew it is gone. ANYONE WHO VOTED FOR TRUMP CAN NOW BE CONSIDERED A DOMESTIC TERRORIST!	Is this tweet offensive?	1
8	<user> <user> That’s because he is not and ur the most corrupt and dumbest ever!!😂😂U loser!! #TrumpIsACoward #TrumpIsCompromised #TrumpIsBroke #TrumpIsPathetic #TrumpIsCorrupt <user> <user> <user> <user> #TrumpIsNotAmerica #TrumpIsNotWell <user> #TrumpIsARacist #TrumpLovesPutin	Is this tweet offensive?	1
9	<user> <user> <user> Well kinda all over the news.  And idk how many felons that rob pregnant ladies at gun point get 3 funerals?Not really sure.still not getting how they can talk about how what happened to him was absolutely unacceptable w/o misleading ppl on who he was  <url>	Is this tweet offensive?	0
10	"""You don’t want a family Christmas if it means people die, do you? DO YOU? You don’t want to kill Granny. You’re not that selfish are you? No. Good. Thank you for answering our totally objective poll."""	Is this tweet offensive?	0
11	"#BlackLivesMatter #BLM #BlackLivesMatterDC #NoKneeling so an employee at  <user>  just hung up on me for calling abt a forgotten drink..a team lead called me ignorant while crying about the 1st employee..and i was given a half ass apology from a mngr ""we'll talk to him"" #BLM..."	Is this tweet offensive?	1
12	"Watch for free, ""America Street,"" on racism and murderous violence against Black Americans, by béninois filmmaker, Indrissou Mora Kpai, shot in the wake of the Walter Scott murder and the Mother Emanuel AME Church massacre. #GeorgeFloyd #BlackLivesMatter  <url>"	Is this tweet offensive?	0
13	<user> It’s forced socialism, so... no	Is this tweet offensive?	0
14	Gee. Thanks, Dick. <url>	Is this tweet offensive?	1
15	<user> Come on man. Listen Jack , okay here’s the deal... you have a hard enough time with the alphabet, let alone run a country😘✌️.	Is this tweet offensive?	1
16	Who TF is asking these motherfuckers to dance in honor of George Floyd? Like please!!	Is this tweet offensive?	1
